"Year","Location","Sunshine_duration","Altitude","Annual_Precipitation","Annual_temperature","Annual_ice_days","Annual_frost_days","Annual_summer_days","Annual_heat_days","Annual_tropic_days","Annual_precipitation_days"
1931,"BaselBinningen",1594.31666666667,316,816,8.5,NA,NA,NA,NA,NA,NA
1931,"BernZollikofen",1742.5,553,1137.6,7.2,NA,NA,NA,NA,NA,NA
1931,"Davos",1767.6,1594,1077.3,1.7,NA,NA,NA,NA,NA,NA
1931,"GenfCointrin",1790.73333333333,411,919.7,9,NA,NA,NA,NA,NA,NA
1931,"LocarnoMonti",NA,367,1962,11,NA,NA,NA,NA,NA,NA
1931,"Lugano",2293.9,273,1478.5,10.9,NA,NA,NA,NA,NA,NA
1931,"Luzern",1596.6,454,1162.5,7.8,NA,NA,NA,NA,NA,NA
1931,"Neuenburg",1768.4,485,1019.2,8.4,NA,NA,NA,NA,NA,NA
1931,"Säntis",1581.1,2501,2105.1,-2.8,NA,NA,NA,NA,NA,NA
1931,"Samedan",NA,1709,644.8,0.6,NA,NA,NA,NA,NA,NA
1931,"Sitten",NA,482,572.3,8.1,NA,NA,NA,NA,NA,NA
1931,"St.Gallen",NA,776,1552.4,6.2,NA,NA,NA,NA,NA,NA
1931,"ZürichFluntern",1680.88333333333,556,1229.1,7.4,NA,NA,NA,NA,NA,NA
1932,"BaselBinningen",1603.61666666667,316,738,8.9,NA,NA,NA,NA,NA,NA
1932,"BernZollikofen",1630.1,553,957.2,7.4,NA,NA,NA,NA,NA,NA
1932,"Davos",1770.6,1594,839.1,2.3,NA,NA,NA,NA,NA,NA
1932,"GenfCointrin",1534.46666666667,411,918,9.2,NA,NA,NA,NA,NA,NA
1932,"LocarnoMonti",NA,367,2178.2,11,NA,NA,NA,NA,NA,NA
1932,"Lugano",2091.6,273,1915.5,11,NA,NA,NA,NA,NA,NA
1932,"Luzern",1476.3,454,1072.2,8.1,NA,NA,NA,NA,NA,NA
1932,"Neuenburg",1623.5,485,913.6,8.6,NA,NA,NA,NA,NA,NA
1932,"Säntis",1758.2,2501,2140,-1.7,NA,NA,NA,NA,NA,NA
1932,"Samedan",NA,1709,503.3,1,NA,NA,NA,NA,NA,NA
1932,"Sitten",NA,482,497.3,8.7,NA,NA,NA,NA,NA,NA
